answer,document_id,offsets_in_document,context,type,gold_answers,gold_offsets_in_documents,gold_document_ids,exact_match,f1,rank,node,query,node_input,sas
the nominee or the insured member’s family,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1475, 'end': 1517}]","ber. In case of death of the member (who is insured), the nominee or the insured member’s family will be paid a fixed amount of Rs.2 Lakh. The policy ",answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,3,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.9707778692245483
nominee or the family members,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 635, 'end': 664}]","le bank accounts. In case of death of the policy holder, the nominee or the family members can claim the insured amount of Rs.2 Lakh by contacting the",answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666665,4,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction,0.6493898034095764
,,"[{'start': 0, 'end': 0}]",,answer,['till 31 May of the next year'],"[{'start': 10, 'end': 38}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,1,Reader,How long will a PMJJBY policy lost upon purchase in a year?,prediction,0.022228296846151352
3 years,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 1281, 'end': 1288}]"," the cost of insurance. If you fail to pay the premium within the first 3 years of the policy, insurance cover is immediately discontinued. For premiu",answer,['till 31 May of the next year'],"[{'start': 10, 'end': 38}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,2,Reader,How long will a PMJJBY policy lost upon purchase in a year?,prediction,0.025970011949539185
"20% of the country’s population had an insurance policy in their name. The main idea behind the scheme was to increase the number of health insured citizens in the country. Additionally, the bank accounts that were initially opened under the Pradhan Mantri Jan Dhan Yojana will be used for this scheme as well. This was done to reduce the number of accounts under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year",86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 313, 'end': 804}]"," 20% of the country’s population had an insurance policy in their name. The main idea behind the scheme was to increase the number of health insured citizens in the country. Additionally, the bank accounts that were initially opened under the Pradhan Mantri Jan Dhan Yojana will be used for this scheme as well. This was done to reduce the number of accounts under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year",answer,['till 31 May of the next year'],"[{'start': 10, 'end': 38}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.05,3,Reader,How long will a PMJJBY policy lost upon purchase in a year?,prediction,0.253666490316391
2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1253, 'end': 1353}]",t. The risk cover is Rs. 2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability. Permanent disability is,answer,['till 31 May of the next year'],"[{'start': 10, 'end': 38}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,4,Reader,How long will a PMJJBY policy lost upon purchase in a year?,prediction,0.03604913875460625
,,"[{'start': 0, 'end': 0}]",,answer,['1 June every year'],"[{'start': 81, 'end': 98}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,1,Reader,When can the PMJJBY premium be renewed every year?,prediction,0.010306690819561481
1 September 2018,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1521, 'end': 1537}]","orm of good health.
Amount of Premium to be Paid:
With effect from 1 September 2018, the Ministry of Finance revised the premium payment structure on ",answer,['1 June every year'],"[{'start': 81, 'end': 98}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.28571428571428575,2,Reader,When can the PMJJBY premium be renewed every year?,prediction,0.03572852909564972
1 June,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 81, 'end': 87}]"," till 31 May of the next year. Henceforth, the policy can be renewed on 1 June every year by paying the premium amount from the bank account. GST is e",answer,['1 June every year'],"[{'start': 81, 'end': 98}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.6666666666666666,3,Reader,When can the PMJJBY premium be renewed every year?,prediction,0.7962672114372253
June 1 to May 31,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 822, 'end': 838}]","he insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year.
Features of PMJJBY:
",answer,['1 June every year'],"[{'start': 81, 'end': 98}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.4444444444444445,4,Reader,When can the PMJJBY premium be renewed every year?,prediction,0.5482346415519714
,,"[{'start': 0, 'end': 0}]",,answer,['45 days '],"[{'start': 301, 'end': 309}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,1,Reader,How many days does it take for PMJJBY risk cover to be applicable after enrolment?,prediction,0.00977037288248539
45,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 301, 'end': 303}]"," noted that the risk cover under the policy will be applicable only after 45 days of enrolment in the scheme
Eligibility Conditions for PMJJBY:
The me",answer,['45 days '],"[{'start': 301, 'end': 309}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.6666666666666666,2,Reader,How many days does it take for PMJJBY risk cover to be applicable after enrolment?,prediction,0.6601240038871765
"one year, stretching from June 1 to May 31",86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 796, 'end': 838}]","s.2 Lakh to the insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year.
Feature",answer,['45 days '],"[{'start': 301, 'end': 309}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,3,Reader,How many days does it take for PMJJBY risk cover to be applicable after enrolment?,prediction,0.029171181842684746
30 days,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 638, 'end': 645}]",of policy documen. Most insurance companies offer a free-look period of 30 days to customers. Customers can freely switch between funds as per their w,answer,['45 days '],"[{'start': 301, 'end': 309}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.5,4,Reader,How many days does it take for PMJJBY risk cover to be applicable after enrolment?,prediction,0.3647732734680176
,,"[{'start': 0, 'end': 0}]",,answer,['savings bank account'],"[{'start': 583, 'end': 603}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,1,Reader,What is mandatory for PMJJBY scheme?,prediction,0.06552988290786743
It is mandatory for the insurers to have a savings bank account and give their consent to join/enable auto-debit the premium amount in one installment on or before 31 May of each annual coverage paid under the scheme from their bank accounts,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 540, 'end': 781}]", It is mandatory for the insurers to have a savings bank account and give their consent to join/enable auto-debit the premium amount in one installment on or before 31 May of each annual coverage paid under the scheme from their bank accounts,answer,['savings bank account'],"[{'start': 583, 'end': 603}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.14634146341463414,2,Reader,What is mandatory for PMJJBY scheme?,prediction,0.5744337439537048
one-year life insurance scheme available for renewal every year,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 950, 'end': 1013}]",radhan Mantri Jeevan Jyoti Bima Yojana is a one-year life insurance scheme available for renewal every year. The scheme is available to people between,answer,['savings bank account'],"[{'start': 583, 'end': 603}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,3,Reader,What is mandatory for PMJJBY scheme?,prediction,0.009441652335226536
an annual premium,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1134, 'end': 1151}]","f 18 and 50 years with a savings bank account. The scheme asks for an annual premium from the insured members, which will automatically be deducted fr",answer,['savings bank account'],"[{'start': 583, 'end': 603}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,4,Reader,What is mandatory for PMJJBY scheme?,prediction,0.014700505882501602
annual,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1092, 'end': 1098}]", be deducted automatically from the insured member’s bank account on an annual basis. It must be noted that the PMJJBY application form is available i,answer,['quarterly basis'],"[{'start': 1606, 'end': 1621}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,1,Reader,On what basis is the PMJJBY premium amount deducted from insurer's account?,prediction,0.30493322014808655
,,"[{'start': 0, 'end': 0}]",,answer,['quarterly basis'],"[{'start': 1606, 'end': 1621}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,2,Reader,On what basis is the PMJJBY premium amount deducted from insurer's account?,prediction,0.24697020649909973
automatically,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1033, 'end': 1046}]",nt period. It must be noted that the premium amount will be deducted automatically from the insured member’s bank account on an annual basis. It must ,answer,['quarterly basis'],"[{'start': 1606, 'end': 1621}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,3,Reader,On what basis is the PMJJBY premium amount deducted from insurer's account?,prediction,0.011851467192173004
auto-debited from the account of the holder,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 949, 'end': 992}]",mium amount is Rs.12 per annum per member and will be auto-debited from the account of the holder. The premium is a nominal amount to encourage the we,answer,['quarterly basis'],"[{'start': 1606, 'end': 1621}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,4,Reader,On what basis is the PMJJBY premium amount deducted from insurer's account?,prediction,0.19704371690750122
"English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil",86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1198, 'end': 1272}]","vailable in several languages such as English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil. Additionally, individuals who exit t",answer,"['English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil']","[{'start': 1198, 'end': 1272}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],1.0,1.0,1,Reader,What are the languages in which PMJJBY form is available?,prediction,0.971258819103241
"Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil",86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1207, 'end': 1272}]","able in several languages such as English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil. Additionally, individuals who exit the s",answer,"['English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil']","[{'start': 1198, 'end': 1272}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.9473684210526316,2,Reader,What are the languages in which PMJJBY form is available?,prediction,0.8614734411239624
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 12, 'end': 51}]","PMJJBY

The Pradhan Mantri Jeevan Jyoti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget",answer,"['English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil']","[{'start': 1198, 'end': 1272}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,3,Reader,What are the languages in which PMJJBY form is available?,prediction,0.00986869540065527
,,"[{'start': 0, 'end': 0}]",,answer,"['English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil']","[{'start': 1198, 'end': 1272}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,4,Reader,What are the languages in which PMJJBY form is available?,prediction,0.00992586463689804
social security scheme,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 58, 'end': 80}]","PMSBY

Pradhan Mantri Suraksha Bima Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can ",answer,['Pradhan Mantri Suraksha Bima Yojana'],"[{'start': 7, 'end': 42}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,1,Reader,What does PMSBY mean?,prediction,0.009832938201725483
,,"[{'start': 0, 'end': 0}]",,answer,['Pradhan Mantri Suraksha Bima Yojana'],"[{'start': 7, 'end': 42}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,2,Reader,What does PMSBY mean?,prediction,0.010029768571257591
SMS,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 1006, 'end': 1009}]",idual will receive the activation SMS. The individual must respond to the SMS as ‘PMSBY Y’. The individual will receive the acknowledgement message. T,answer,['Pradhan Mantri Suraksha Bima Yojana'],"[{'start': 7, 'end': 42}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,What does PMSBY mean?,prediction,0.009965742006897926
Y’,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 1020, 'end': 1022}]",eive the activation SMS. The individual must respond to the SMS as ‘PMSBY Y’. The individual will receive the acknowledgement message. The Bank will p,answer,['Pradhan Mantri Suraksha Bima Yojana'],"[{'start': 7, 'end': 42}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,4,Reader,What does PMSBY mean?,prediction,0.01845092885196209
social security,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 58, 'end': 73}]","PMSBY

Pradhan Mantri Suraksha Bima Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can ",answer,['social security scheme'],"[{'start': 58, 'end': 80}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.8,1,Reader,What type of scheme is PMSBY?,prediction,0.921108603477478
,,"[{'start': 0, 'end': 0}]",,answer,['social security scheme'],"[{'start': 58, 'end': 80}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,2,Reader,What type of scheme is PMSBY?,prediction,0.011481150053441525
yearly,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 320, 'end': 326}]","or auto-debit has to be given to the bank by May 31 every year. It is a yearly scheme, and hence the individual must provide consent for auto-debit be",answer,['social security scheme'],"[{'start': 58, 'end': 80}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,What type of scheme is PMSBY?,prediction,0.012772559188306332
The risk cover is Rs. 2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 1231, 'end': 1353}]",f auto-debit. The risk cover is Rs. 2 lakh for accidental death and permanent disability and Rs. 1 lakh for permanent partial disability. Permanent di,answer,['social security scheme'],"[{'start': 58, 'end': 80}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,4,Reader,What type of scheme is PMSBY?,prediction,0.3150607943534851
