answer,document_id,offsets_in_document,context,type,gold_answers,gold_offsets_in_documents,gold_document_ids,exact_match,f1,rank,node,query,node_input
18 and 50 years,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1069, 'end': 1084}]",l every year. The scheme is available to people between the ages of 18 and 50 years with a savings bank account. The scheme asks for an annual premium,answer,['55 years'],"[{'start': 1629, 'end': 1637}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.3333333333333333,4,Reader,At what age of the insurer will the PMJJBY policy mature automatically?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction
upon the death of the insured member,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1388, 'end': 1424}]","ill pay the insurance amount to the member’s family only upon the death of the insured member. In case of death of the member (who is insured), the no",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],1.0,1.0,2,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction
June 1 to May 31,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 822, 'end': 838}]","he insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year.
Features of PMJJBY:
",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,3,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction
"June, July, August",86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 13, 'end': 31}]","Paid are for June, July, August is Rs.330, for September, October, November is Rs. 258, for December, January, February is Rs. 172, for March, April, ",answer,['upon the death of the insured member'],"[{'start': 1388, 'end': 1424}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,4,Reader,"When will the insurance company pay PMJJBY insurance to the family members?
",prediction
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,1,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.0,2,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction
the member’s family,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1363, 'end': 1382}]",an wherein the insurance company will pay the insurance amount to the member’s family only upon the death of the insured member. In case of death of t,answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.5714285714285715,3,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction
the nominee or the family members,86b6adea4b99d7e62c865b8c75353e3a-2,"[{'start': 631, 'end': 664}]","iple bank accounts. In case of death of the policy holder, the nominee or the family members can claim the insured amount of Rs.2 Lakh by contacting t",answer,['the nominee or the insured member’s family '],"[{'start': 1475, 'end': 1518}]",['86b6adea4b99d7e62c865b8c75353e3a-0'],0.0,0.6666666666666665,4,Reader,Who will receive the insured sum upon death of the PMJJBY insured member?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['till 31 May of the next year'],"[{'start': 10, 'end': 38}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,1,Reader,How long will a PMJJBY policy lost upon purchase in a year?,prediction
one-year,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 93, 'end': 101}]","Suraksha Bima Yojana or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can be renewed yearly. PMS",answer,['till 31 May of the next year'],"[{'start': 10, 'end': 38}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,2,Reader,How long will a PMJJBY policy lost upon purchase in a year?,prediction
50 years,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 842, 'end': 850}]",k accounts. Entry to the scheme will not be possible beyond the age of 50 years. The eligible candidates can join the scheme before giving any self de,answer,['till 31 May of the next year'],"[{'start': 10, 'end': 38}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,3,Reader,How long will a PMJJBY policy lost upon purchase in a year?,prediction
"Rs.2 Lakh to the insured member for the time period of one year, stretching from June 1 to May 31",86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 838}]","eme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching from June 1 to May 31; this time period will be",answer,['till 31 May of the next year'],"[{'start': 10, 'end': 38}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.3333333333333333,4,Reader,How long will a PMJJBY policy lost upon purchase in a year?,prediction
1 June,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 81, 'end': 87}]"," till 31 May of the next year. Henceforth, the policy can be renewed on 1 June every year by paying the premium amount from the bank account. GST is e",answer,['1 June every year'],"[{'start': 81, 'end': 98}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.6666666666666666,1,Reader,When can the PMJJBY premium be renewed every year?,prediction
June 1 to May 31,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 822, 'end': 838}]","he insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year.
Features of PMJJBY:
",answer,['1 June every year'],"[{'start': 81, 'end': 98}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.4444444444444445,2,Reader,When can the PMJJBY premium be renewed every year?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['1 June every year'],"[{'start': 81, 'end': 98}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,3,Reader,When can the PMJJBY premium be renewed every year?,prediction
31 May,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 704, 'end': 710}]",in/enable auto-debit the premium amount in one installment on or before 31 May of each annual coverage paid under the scheme from their bank accounts.,answer,['1 June every year'],"[{'start': 81, 'end': 98}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,4,Reader,When can the PMJJBY premium be renewed every year?,prediction
45,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 301, 'end': 303}]"," noted that the risk cover under the policy will be applicable only after 45 days of enrolment in the scheme
Eligibility Conditions for PMJJBY:
The me",answer,['45 days '],"[{'start': 301, 'end': 309}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.6666666666666666,1,Reader,How many days does it take for PMJJBY risk cover to be applicable after enrolment?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['45 days '],"[{'start': 301, 'end': 309}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,2,Reader,How many days does it take for PMJJBY risk cover to be applicable after enrolment?,prediction
June 1 to May 31,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 822, 'end': 838}]","he insured member for the time period of one year, stretching from June 1 to May 31; this time period will be renewed every year.
Features of PMJJBY:
",answer,['45 days '],"[{'start': 301, 'end': 309}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,3,Reader,How many days does it take for PMJJBY risk cover to be applicable after enrolment?,prediction
31 May,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 704, 'end': 710}]",in/enable auto-debit the premium amount in one installment on or before 31 May of each annual coverage paid under the scheme from their bank accounts.,answer,['45 days '],"[{'start': 301, 'end': 309}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,4,Reader,How many days does it take for PMJJBY risk cover to be applicable after enrolment?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['savings bank account'],"[{'start': 583, 'end': 603}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,1,Reader,What is mandatory for PMJJBY scheme?,prediction
an annual premium,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1134, 'end': 1151}]","f 18 and 50 years with a savings bank account. The scheme asks for an annual premium from the insured members, which will automatically be deducted fr",answer,['savings bank account'],"[{'start': 583, 'end': 603}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,2,Reader,What is mandatory for PMJJBY scheme?,prediction
submit the form and the Aadhar card,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 861, 'end': 896}]",cheme through SMS or net banking. The individual needs to submit the form and the Aadhar card.After online registration the individual will receive th,answer,['savings bank account'],"[{'start': 583, 'end': 603}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,3,Reader,What is mandatory for PMJJBY scheme?,prediction
an annual premium from the insured members,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1134, 'end': 1176}]","ears with a savings bank account. The scheme asks for an annual premium from the insured members, which will automatically be deducted from the member",answer,['savings bank account'],"[{'start': 583, 'end': 603}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,4,Reader,What is mandatory for PMJJBY scheme?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['quarterly basis'],"[{'start': 1606, 'end': 1621}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,1,Reader,On what basis is the PMJJBY premium amount deducted from insurer's account?,prediction
automatically,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 1189, 'end': 1202}]","heme asks for an annual premium from the insured members, which will automatically be deducted from the member’s bank accounts. It must be noted that ",answer,['quarterly basis'],"[{'start': 1606, 'end': 1621}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,2,Reader,On what basis is the PMJJBY premium amount deducted from insurer's account?,prediction
annual,86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1092, 'end': 1098}]", be deducted automatically from the insured member’s bank account on an annual basis. It must be noted that the PMJJBY application form is available i,answer,['quarterly basis'],"[{'start': 1606, 'end': 1621}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,3,Reader,On what basis is the PMJJBY premium amount deducted from insurer's account?,prediction
auto-debited,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 949, 'end': 961}]","y only.
The premium amount is Rs.12 per annum per member and will be auto-debited from the account of the holder. The premium is a nominal amount to e",answer,['quarterly basis'],"[{'start': 1606, 'end': 1621}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,4,Reader,On what basis is the PMJJBY premium amount deducted from insurer's account?,prediction
"English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil",86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1198, 'end': 1272}]","vailable in several languages such as English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil. Additionally, individuals who exit t",answer,"['English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil']","[{'start': 1198, 'end': 1272}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],1.0,1.0,1,Reader,What are the languages in which PMJJBY form is available?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,"['English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil']","[{'start': 1198, 'end': 1272}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,2,Reader,What are the languages in which PMJJBY form is available?,prediction
"ati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil",86b6adea4b99d7e62c865b8c75353e3a-1,"[{'start': 1219, 'end': 1272}]","n several languages such as English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil. Additionally, individuals who exit the scheme ",answer,"['English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil']","[{'start': 1198, 'end': 1272}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.7777777777777777,3,Reader,What are the languages in which PMJJBY form is available?,prediction
Pradhan Mantri Jeevan Jyoti Bima Yojana,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 12, 'end': 51}]","PMJJBY

The Pradhan Mantri Jeevan Jyoti Bima Yojana or PMJBY was started by the then Finance Minister, Mr. Arun Jaitley in the annual financial budget",answer,"['English, Hindi, Gujarati, Bangla, Kannada, Odia, Marathi, Telugu and Tamil']","[{'start': 1198, 'end': 1272}]",['86b6adea4b99d7e62c865b8c75353e3a-1'],0.0,0.0,4,Reader,What are the languages in which PMJJBY form is available?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['Pradhan Mantri Suraksha Bima Yojana'],"[{'start': 7, 'end': 42}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,1,Reader,What does PMSBY mean?,prediction
social security schemes,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 195, 'end': 218}]","ty cover, that can be renewed yearly. PMSBY is one of the three social security schemes that was announced in the Government in the 2015 budget. The o",answer,['Pradhan Mantri Suraksha Bima Yojana'],"[{'start': 7, 'end': 42}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,2,Reader,What does PMSBY mean?,prediction
In case the individual holds multiple accounts in multiple banks then he will be allowed to join the scheme through one bank account only,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 522, 'end': 659}]",cheme. In case the individual holds multiple accounts in multiple banks then he will be allowed to join the scheme through one bank account only. In t,answer,['Pradhan Mantri Suraksha Bima Yojana'],"[{'start': 7, 'end': 42}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,What does PMSBY mean?,prediction
PMSBY Y,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 1014, 'end': 1021}]", receive the activation SMS. The individual must respond to the SMS as ‘PMSBY Y’. The individual will receive the acknowledgement message. The Bank wi,answer,['Pradhan Mantri Suraksha Bima Yojana'],"[{'start': 7, 'end': 42}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,4,Reader,What does PMSBY mean?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['social security scheme'],"[{'start': 58, 'end': 80}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,1,Reader,What type of scheme is PMSBY?,prediction
social security schemes,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 195, 'end': 218}]","ty cover, that can be renewed yearly. PMSBY is one of the three social security schemes that was announced in the Government in the 2015 budget. The o",answer,['social security scheme'],"[{'start': 58, 'end': 80}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.6666666666666666,2,Reader,What type of scheme is PMSBY?,prediction
yearly scheme,d635e12585c3e386a02b4fb885fdc468-1,"[{'start': 320, 'end': 333}]","auto-debit has to be given to the bank by May 31 every year. It is a yearly scheme, and hence the individual must provide consent for auto-debit befor",answer,['social security scheme'],"[{'start': 58, 'end': 80}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.4,3,Reader,What type of scheme is PMSBY?,prediction
one bank account only,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 638, 'end': 659}]","ultiple banks then he will be allowed to join the scheme through one bank account only. In the case of joint account holders, all the holders will be ",answer,['social security scheme'],"[{'start': 58, 'end': 80}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,4,Reader,What type of scheme is PMSBY?,prediction
,,"[{'start': 0, 'end': 0}]",,answer,['one-year accidental death and disability cover'],"[{'start': 93, 'end': 139}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,1,Reader,What is covered under PMSBY scheme?,prediction
accidental death and disability,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 102, 'end': 133}]"," or SPMSBY is a social security scheme that offers one-year accidental death and disability cover, that can be renewed yearly. PMSBY is one of the thr",answer,['one-year accidental death and disability cover'],"[{'start': 93, 'end': 139}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.8,2,Reader,What is covered under PMSBY scheme?,prediction
Rs.2 Lakh,86b6adea4b99d7e62c865b8c75353e3a-0,"[{'start': 741, 'end': 750}]"," under the scheme with zero balance. The scheme offers a life cover of Rs.2 Lakh to the insured member for the time period of one year, stretching fro",answer,['one-year accidental death and disability cover'],"[{'start': 93, 'end': 139}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.0,3,Reader,What is covered under PMSBY scheme?,prediction
in the event of an accident being the cause of death,f9732dd2411b250f2227efc3f40af4ec-1,"[{'start': 168, 'end': 220}]",nefit Rider provides the policyholder with cover in the event of an accident being the cause of death. Term rider provides the policyholder with a mon,answer,['one-year accidental death and disability cover'],"[{'start': 93, 'end': 139}]",['d635e12585c3e386a02b4fb885fdc468-0'],0.0,0.14285714285714288,4,Reader,What is covered under PMSBY scheme?,prediction
18-70 years,d635e12585c3e386a02b4fb885fdc468-0,"[{'start': 470, 'end': 481}]","unt holders, whether single or joint account status, in the age group 18-70 years, are eligible to join the PMSBY scheme. In case the individual holds",answer,['18-70 years'],"[{'start': 470, 'end': 481}]",['d635e12585c3e386a02b4fb885fdc468-0'],1.0,1.0,1,Reader,Which age group citizen are eligible for PMSBY?,prediction
